Seq No,Itm Code,Function Description,Opn Qty,Pur Qty 01,Sal Qty 01,Bal Qty 01,Pur Qty 02,Sal Qty 02,Bal Qty 02,Pur Qty 03,Sal Qty 03,Bal Qty 03,Pur Qty 04,Sal Qty 04,Bal Qty 04,Pur Qty 05,Sal Qty 05,Bal Qty 05,Pur Qty 06,Sal Qty 06,Bal Qty 06,Pur Qty 07,Sal Qty 07,Bal Qty 07,Pur Qty 08,Sal Qty 08,Bal Qty 08,Pur Qty 09,Sal Qty 09,Bal Qty 09,Pur Qty 10,Sal Qty 10,Bal Qty 10,Pur Qty 11,Sal Qty 11,Bal Qty 11,Pur Qty 12,Sal Qty 12,Bal Qty 12
31,GAB52125 ,SHOCK ABSORBER,23,0,2,21,0,2,19,0,2,17,0,0,17,0,0,17,0,2,15,0,4,11,0,0,11,0,0,11,0,2,9,0,4,5,0,0,5
32,GAB52125-X ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,GAB52127 ,SHOCK ABSORBER,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1,9,0,1,8
34,GAB52128 ,SHOCK ABSORBER,13,0,0,13,0,0,13,0,0,13,0,0,13,0,0,13,0,0,13,0,0,13,0,0,13,0,0,13,0,0,13,0,1,12,0,0,12
35,GAB52278 ,SHOCK ABSORBER,5,12,1,16,0,1,15,0,2,13,0,4,9,0,1,8,0,1,7,0,6,0,0,0,0,0,0,0,16,0,16,0,3,13,0,2,11
36,GAB52279 ,SHOCK ABSORBER,4,12,1,15,0,1,14,0,2,12,0,3,9,0,1,8,0,1,7,0,6,1,0,0,1,0,0,1,10,0,11,0,3,8,0,2,6
37,GAB52351 ,SHOCK ABSORBER,15,0,0,15,0,0,15,0,1,14,0,0,14,0,0,14,0,0,14,0,0,14,0,1,13,0,2,11,0,1,10,0,0,10,0,0,10
38,GAB52352 ,SHOCK ABSORBER,10,0,1,9,0,1,8,0,1,7,0,0,7,0,0,7,0,0,7,0,0,7,0,1,6,0,2,4,0,1,3,0,0,3,0,0,3
39,GAB52406 ,SHOCK ABSORBER,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10
40,GAB52889 ,SHOCK ABSORBER,11,0,0,11,24,1,34,0,1,33,0,0,33,0,1,32,0,0,32,0,1,31,0,0,31,0,4,27,0,5,22,0,2,20,0,0,20
41,GAB52890 ,SHOCK ABSORBER,7,0,0,7,24,1,30,0,1,29,0,0,29,0,1,28,0,1,27,0,1,26,0,0,26,0,4,22,0,3,19,0,2,17,0,1,16
42,GAB55514 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,GAB55551 ,SHOCK ABSORBER,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,6,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4
44,GAB55674 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,GAB55674L ,SHOCK ABSORBER,38,0,0,38,0,0,38,0,1,37,0,1,36,0,0,36,0,0,36,0,0,36,0,0,36,0,2,34,0,3,31,0,2,29,0,2,27
46,GAB55674R ,SHOCK ABSORBER,34,0,0,34,0,0,34,0,1,33,0,1,32,0,0,32,0,0,32,0,0,32,0,1,31,0,2,29,0,3,26,0,2,24,0,2,22
47,GAB55681 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,10,6,0,0,6,0,6,0,0,0,0
48,GAB55948 ,SHOCK ABSORBER,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
49,GAB56807 ,SHOCK ABSORBER,0,4,0,4,0,0,4,0,0,4,4,0,8,0,0,8,0,2,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6
50,GAB56817 ,SHOCK ABSORBER,4,0,0,4,16,0,20,0,0,20,0,0,20,0,2,18,0,3,15,0,0,15,0,0,15,0,0,15,0,0,15,0,6,9,0,2,7
